,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
216,Women's Clothes,Shirts,Long Sleeve Shirts,Ebb to Street Long-Sleeve Shirt,88.0,3.9,229
217,Women's Clothes,Underwear,,"UnderEase Super-High-Rise Shortie Underwear 5""",28.0,4.5,150
218,Women's Clothes,Sweaters,,Open Back Half-Zip Sweater,138.0,4.4,11
219,Women's Clothes,Underwear,,UnderEase High-Rise Thong Underwear,18.0,3.8,30
220,Women's Clothes,Shirts,T-Shirts,Team Canada Love Crew T-Shirt COC Logo Online Only,48.0,4.4,97
221,Women's Clothes,Pants,,"Base Pace High-Rise Tight 31""",98.0,3.8,105
222,Women's Clothes,Shirts,Long Sleeve Shirts,Slim-Fit Jacquard Turtleneck,78.0,4.5,12
223,Women's Clothes,Shirts,Tank Tops,Swiftly Tech High-Neck Tank Top 2.0 Race Length,58.0,4.5,174
224,Women's Clothes,Shirts,T-Shirts,Back in Action Short-Sleeve T-Shirt Nulu Online Only,68.0,4.5,153
225,Women's Clothes,Underwear,,InvisiWear Mid-Rise Boyshort Underwear Online Only,20.0,3.6,40
226,Women's Clothes,Shirts,T-Shirts,Lightweight Cinched Hem Hiking T-Shirt Online Only,68.0,,0
227,Women's Clothes,Shirts,Long Sleeve Shirts,New Year Swiftly Tech Long Sleeve Shirt 2.0 Race Length Online Only,78.0,3.3,6
228,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 23"" Shine",98.0,4.8,29
229,Women's Clothes,Underwear,,UnderEase Super-High-Rise Shortie Underwear 2 Pack,54.0,4.7,87
230,Women's Clothes,Hoodies & Sweatshirts,,It's Rulu Run Long-Sleeve Hoodie,118.0,4.1,17
231,Women's Clothes,Coats & Jackets,,Cross Chill Jacket,198.0,4.0,350
232,Women's Clothes,Coats & Jackets,,Dynamic Movement Half-Zip Online Only,168.0,3.9,25
233,Women's Clothes,Coats & Jackets,,Transformable Parka,368.0,4.3,26
234,Women's Clothes,Coats & Jackets,,Evergreen Anorak,158.0,4.3,118
235,Women's Clothes,Hoodies & Sweatshirts,,Mixed Fabric Full-Zip Hoodie,178.0,5.0,1
236,Women's Clothes,Pants,,Loungeful Straight Leg Pant Full Length,128.0,4.4,313
237,Women's Clothes,Coats & Jackets,,Short Insulated Bomber Jacket,198.0,5.0,2
238,Women's Clothes,Shorts,,"lululemon Align™ High-Rise Short with Pockets 6"" Online Only",74.0,4.2,47
239,Women's Clothes,Shirts,T-Shirts,Love V-Neck T-Shirt Online Only,48.0,3.6,379
240,Women's Clothes,Sweaters,,Cotton-Blend Full-Zip Sweater,198.0,5.0,3
241,Women's Clothes,Shorts,,"Team Canada lululemon Align™ High-Rise Short 8"" COC Logo Online Only",64.0,5.0,4
242,Women's Clothes,Pants,Leggings,"Fast and Free High-Rise Tight 25"" Neon Wash",148.0,4.5,4
243,Women's Clothes,Shorts,,"Track That High-Rise Lined Short 3""",68.0,4.4,848
244,Women's Clothes,Pants,Leggings,"Base Pace High-Rise Crop 17""",88.0,3.7,72
245,Women's Clothes,Hoodies & Sweatshirts,,Team Canada Swiftly Tech Half Zip 2.0 Online Only,108.0,4.2,5
246,Women's Clothes,bottoms,Underwear,UnderEase Lace Mid-Rise Bikini Underwear 3 Pack,48.0,,0
247,Women's Clothes,Shorts,,"Multi-Pocket Cargo High-Rise Hiking Short 5""",108.0,4.3,91
248,Women's Clothes,Swimsuits,,Waterside Pull-On Swim Top B/C Cup,74.0,3.0,3
249,Women's Clothes,Coats & Jackets,,Water-Repellent Stretch Tennis Jacket,178.0,5.0,5
250,Women's Clothes,Coats & Jackets,,Belted Rain Trench Coat,298.0,4.0,2
251,Women's Clothes,Coats & Jackets,,Wunder Puff Cropped Vest,228.0,4.6,381
252,Women's Clothes,Shirts,Long Sleeve Shirts,Team Canada Swiftly Tech Long-Sleeve Shirt 2.0,78.0,4.2,57
253,Women's Clothes,Underwear,,InvisiWear Mid-Rise Boyshort Underwear 3 Pack,54.0,3.8,23
254,Women's Clothes,Sports Bras,,"New Year lululemon Align™ Bra Light Support, A/B Cup",58.0,4.0,10
255,Women's Clothes,Swimsuits,,Waterside Half-Zip UV Protection Paddle Top,98.0,,0
256,Women's Clothes,Shorts,,"Softstreme High-Rise Short 4""",78.0,4.6,95
257,Women's Clothes,Pants,,"Everlux and Mesh Super-High-Rise Training Tight 25""",158.0,4.4,26
258,Women's Clothes,bottoms,Underwear,UnderEase Lace Mid-Rise Thong Underwear 3 Pack,48.0,,0
259,Women's Clothes,Coats & Jackets,,Rain Rebel Insulated Jacket Online Only,278.0,2.9,11
260,Shoes,,,Blissfeel Women's Running Shoe,198.0,4.3,2105
261,Women's Clothes,Underwear,,Invisiwear High-Rise Bikini Underwear,18.0,3.1,23
262,Women's Clothes,Hoodies & Sweatshirts,,Softstreme Turtleneck Pullover,138.0,3.8,75
263,Women's Clothes,Shirts,Long Sleeve Shirts,New Year Swiftly Tech Long Sleeve Shirt 2.0,78.0,4.1,1952
264,Women's Clothes,Coats & Jackets,,SenseKnit Composite Running Jacket,248.0,3.0,1
265,Women's Clothes,Shirts,Long Sleeve Shirts,Love Long-Sleeve Shirt,58.0,4.4,355
266,Women's Clothes,Swimsuits,,Waterside Scoop One-Piece Swimsuit,138.0,5.0,1
267,Women's Clothes,Pants,,"Relaxed-Fit High-Rise Knit Cropped Pants 24""",158.0,,0
268,Women's Clothes,Swimsuits,,Waterside High-Neck Back-Clasp One-Piece Swimsuit,138.0,,0
269,Women's Clothes,Coats & Jackets,,Evergreen Cropped Full-Zip Hoodie,148.0,4.9,15
